"NUM_DAU";"COMM";"SEC_CADASTRE1";"NUM_CADASTRE1";"DESTINATION_PRINCIPALE";"SURF_LOC_CREEE";"SURF_LOC_AVANT";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"SUPERFICIE_TERRAIN"
"00100425A1021";"01004";"BO";"670";8;1822;1822;2;"2025-10-31";;442533
"00104325A0014";"01043";"AM";"865";8;1447;2446;2;"2025-07-16";;8215
"00104724A0007";"01047";"AB";"52";3;1051;0;2;"2025-02-25";;4797
"00104724A0014";"01047";"AA";"34";6;1091;7735;2;"2025-05-14";;19253
"00105325A0016";"01053";"AH";"7";6;1860;43441;2;"2025-05-20";;25140
"00105325A0034";"01053";"CR";"165";4;2158;0;2;"2025-09-18";;72354
"00106325H0006";"01063";"ZB";"740";8;1260;2515;2;"2025-07-08";;11203
"00107125B0002";"01071";"AN";"104";8;1159;0;2;"2025-04-30";;90921
"00108924A0012";"01089";"ZR";"456";6;1726;2224;2;"2025-04-15";;7489
"00117324J0027";"01173";"AN";"39";8;1795;747;2;"2025-06-24";;5000
"00118325V0005";"01183";"0C";"1782";6;1048;765;2;"2025-09-29";;3000
"00119925A0006";"01199";"0B";"2492";8;1627;0;2;"2025-06-04";;0
"00123125D0022";"01231";"UX";"1836";6;1080;8755;2;"2025-12-19";;16984
"00124924A0040";"01249";"AI";"578";8;1855;1673;2;"2025-01-08";;41133
"00124925A0007";"01249";"AP";"42";6;3481;5870;2;"2025-05-20";;15449
"00124925A0015";"01249";"AO";"124";6;3884;7903;2;"2025-06-03";;20195
"00125425B0004";"01254";"AZ";"34";8;3396;9478;2;"2025-08-29";;15092
"00130124B0034";"01301";"AE";"7";4;1271;0;2;"2025-08-01";;7820
"00131325J0016";"01313";"AS";"9";6;5128;441;2;"2025-11-01";;59511
"00133325V0021";"01333";"AE";"90";8;1565;1042;2;"2025-10-02";;5780
"00134425A0009";"01344";"AD";"34";6;1860;43441;2;"2025-04-08";;90268
"00134825V0018";"01348";"ZV";"250";6;2142;3899;2;"2025-08-26";;21543
"00135425A0016";"01354";"AD";"139";8;1250;0;2;"2025-07-04";;32425
"00135425J0026";"01354";"BK";"33";8;1784;672;2;"2025-09-23";;4691
"00138324V0015";"01383";"AB";"45";8;1194;0;2;"2025-06-24";;2874
"00145124A0054";"01451";"BB";"235";3;1862;0;2;"2025-03-04";;5341
"00145125A0011";"01451";"0E";"1563";8;1512;0;2;"2025-06-06";;3001
"00145125A0035";"01451";"BN";"214";8;1610;3312;2;"2025-12-08";;14965
"00145724D0021";"01457";"0B";"721";6;1044;0;2;"2025-03-17";;2756
"00145725D0006";"01457";"0C";"41";8;1812;9537;2;"2025-07-04";;24392
"00204624SE004";"02046";"ZI";"112";8;8307;0;2;"2025-01-27";;39163
"00204625SE003";"02046";"ZI";"192";6;4842;0;5;"2025-07-31";"2025-11-17";60106
"0020942500003";"02094";"0A";"1387";8;1447;0;2;"2025-10-14";;41119
"0020942500004";"02094";"AA";"59";8;1357;1034;2;"2025-12-19";;3453
"00211025P0003";"02110";"C";"1083";6;5053;1320;2;"2025-05-28";;106383
"0021682500004";"02168";"ZM";"111";6;1800;16980;2;"2025-09-16";;70284
"00217324J0034";"02173";"AO";"229";6;2979;1757;2;"2025-01-15";;12052
"00221224J0003";"02212";"ZE";"57";8;1565;0;5;"2025-03-31";"2025-06-13";27860
"00222624AS004";"02226";"A";"459";6;22323;0;2;"2025-07-01";;393298
"00230324W0005";"02303";"ZA";"105";4;1735;1843;5;"2025-03-27";"2025-09-08";9433
"00232824M0001";"02328";"AH";"190";8;1396;0;2;"2025-02-19";;2612
"00236125TS005";"02361";"ZB";"532";4;3128;0;2;"2025-10-31";;18278
"00238724VO038";"02387";"ZH";"462";6;1395;0;2;"2025-04-10";;3858
"00240824A0024";"02408";"BL";"146";4;1350;3003;2;"2025-04-30";;22326
"00251424Z0004";"02514";"ZA";"13";6;3594;32859;2;"2025-03-16";;54140
"00269124W0052";"02691";"ZR";"206";3;1174;0;5;"2025-01-20";"2025-05-12";3684
